Super_Built_up_Area,Area,Carpet_Area,Floor_Number,Parking,Furnishing,Location,Bathrooms,Bedrooms,Balconies,Price
900,,,3,1,,Andheri East,2,2,1,185
1600,1500,1300,5,2,0,Andheri East,3,3,0,400
685,,,7,1,1,Andheri East,2,1,0,105
1130,,730,10,1,1,Andheri East,2,2,0,160
,,875,5,1,,Andheri East,2,2,0,160
1300,1100,800,4,1,,Andheri East,2,2,0,180
1255,,830,8,1,1,Andheri East,2,2,1,220
1089,871,648,5,1,1,Andheri East,2,2,0,180
850,600,550,8,1,1,Andheri East,1,1,1,160
992,,618,10,1,1,Andheri East,2,2,0,180
875,860,630,3,1,0,Andheri East,2,2,0,135
1409,1128,854,11,1,2,Andheri East,2,2,1,245
900,,633,5,1,2,Andheri East,2,2,2,142
645,,,8,,0,Andheri East,2,1,0,100
1150,,627,8,1,2,Andheri East,2,2,1,125
1070,856,648,9,1,1,Andheri East,2,2,1,155
1500,1250,1100,5,1,,Andheri East,3,3,0,251
1055,,675,4,1,2,Andheri East,2,2,0,155
1927,1402,1168,4,1,2,Andheri East,3,3,1,292
900,890,630,4,1,2,Andheri East,2,2,2,142
,,396,2,1,2,Andheri East,2,1,0,99
902,,625,5,2,0,Andheri East,2,2,0,145
520,,,6,1,,Andheri East,1,1,0,85
872,,,2,1,0,Andheri East,2,2,0,160
850,,650,3,1,0,Andheri East,2,2,0,165
,,448,1,1,,Andheri East,2,1,0,115
1200,1000,700,1,1,2,Andheri East,2,2,0,235
,,390,3,1,,Andheri East,1,1,0,86
,,775,4,1,,Andheri East,2,2,3,240
1750,1600,1245,5,2,0,Andheri East,4,4,2,350
1100,,805,3,,1,Andheri East,2,2,1,180
5220,,3600,,3,2,Andheri East,4,4,0,875
,,698,12,1,2,Andheri East,2,2,0,175
,,860,,1,2,Andheri East,2,2,0,149
,1500,,18,1,1,Andheri East,2,3,2,335
726,580,440,7,1,1,Andheri East,2,1,1,99
,550,,7,,2,Andheri East,1,1,0,150
800,750,698,11,1,2,Andheri East,2,2,0,175
,,,,,,Andheri East,5,5,2,2222
1000,,670,2,1,,Andheri East,2,2,1,188
1800,1799,1260,10,1,2,Andheri East,3,3,2,365
,,225,5,,,Andheri East,1,1,0,35
550,500,450,12,1,2,Andheri East,2,1,0,110
,,530,6,,0,Andheri East,2,1,1,110
1350,1150,835,9,1,1,Andheri East,2,2,1,188
1050,1000,700,6,1,1,Andheri East,2,2,2,171
875,835,800,2,1,2,Andheri East,2,2,1,150
640,620,445,1,1,2,Andheri East,1,1,0,95
1497,,987,17,2,0,Andheri East,2,3,3,281
1250,1200,816,7,2,,Andheri East,2,2,1,215
,722,662,1,10,,Andheri East,4,4,0,135
1100,1000,700,5,1,0,Andheri East,2,2,0,165
555,,,1,1,0,Andheri East,2,1,0,78
1520,1460,1124,14,1,2,Andheri East,3,3,0,333
1048,,632,4,,1,Andheri East,2,2,0,155
,400,302,4,1,1,Andheri East,1,1,0,75
,,1025,14,1,,Andheri East,2,3,1,305
1450,1400,945,11,1,2,Andheri East,2,3,3,275
900,750,500,1,1,,Andheri East,2,1,0,180
1200,,820,5,1,,Andheri East,2,2,0,226
1545,1300,950,19,2,0,Andheri East,2,3,3,288
1280,,,9,1,0,Andheri East,3,3,0,240
1090,850,657,17,1,2,Andheri East,2,2,0,160
1363,,1000,15,1,2,Andheri East,3,3,1,268
1244,,851,1,1,1,Andheri East,2,3,1,295
1850,1700,1135,15,1,1,Andheri East,2,3,1,345
1089,1058,618,12,1,2,Andheri East,2,2,0,175
1263,1197,860,10,1,2,Andheri East,2,2,1,200
